# XGID identifier-slot manifest - the canonical per-slot classification (M-RP-XGID-SLOT-RETYPE Leg 0, J-660).
# Reasoning and totals live in tasks/M_RP_XGID_SLOT_RETYPE.md section 3a. This file is the per-slot list, not a second copy of it.
# Keyed on File + Struct + Field. NOT on line numbers - those shift.
# EXPECTED: BOUNDARY=65 DESCRIPTIVE=5 INTERNAL=17 UNREAD=1 TOTAL=88
# Class	File	Struct	Field
BOUNDARY	xgen-client/src/app.rs	BanArgs	identity
BOUNDARY	xgen-client/src/app.rs	BanArgs	space
BOUNDARY	xgen-client/src/app.rs	LeaveArgs	room
BOUNDARY	xgen-client/src/app.rs	LeaveArgs	space
BOUNDARY	xgen-client/src/app.rs	MembersArgs	space
BOUNDARY	xgen-client/src/app.rs	RedactArgs	room
BOUNDARY	xgen-client/src/app.rs	RedactArgs	space
BOUNDARY	xgen-client/src/app.rs	RedactArgs	target
BOUNDARY	xgen-client/src/app.rs	RoomsArgs	space
BOUNDARY	xgen-client/src/app.rs	RoomUpdateArgs	room
BOUNDARY	xgen-client/src/app.rs	RoomUpdateArgs	space
BOUNDARY	xgen-client/src/app.rs	ThreadCreateArgs	room
BOUNDARY	xgen-client/src/app.rs	ThreadCreateArgs	space
BOUNDARY	xgen-client/src/app.rs	ThreadStatusArgs	room
BOUNDARY	xgen-client/src/app.rs	ThreadStatusArgs	space
BOUNDARY	xgen-client/src/app.rs	ThreadStatusArgs	thread
BOUNDARY	xgen-client/src/batch.rs	FrontierEvent	event_id
BOUNDARY	xgen-client/src/desktop.rs	SelfStateInfo	home_node
BOUNDARY	xgen-client/src/desktop.rs	SelfStateInfo	identity_id
BOUNDARY	xgen-common/src/trust_assertion.rs	TrustAssertion	identity_id
BOUNDARY	xgen-core/src/transport/connection.rs	ENUM-VARIANT	event_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	event_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	event_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	identity_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	new_home_node_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	node_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	old_home_node_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	space_id
BOUNDARY	xgen-core/src/wire/types.rs	ENUM-VARIANT	space_id
BOUNDARY	xgen-node/src/admin_ops.rs	AdminContext	actor
BOUNDARY	xgen-node/src/admin_ops.rs	AuthModuleRegisterResult	module_id
BOUNDARY	xgen-node/src/admin_ops.rs	AuthModuleRevokeResult	module_id
BOUNDARY	xgen-node/src/admin_ops.rs	AuthModuleSetTiersResult	module_id
BOUNDARY	xgen-node/src/admin_ops.rs	AuthModuleSummary	module_id
BOUNDARY	xgen-node/src/admin_ops.rs	AuthModuleTestResult	module_id
BOUNDARY	xgen-node/src/admin_ops.rs	BootstrapDeregisterResult	bootstrap_id
BOUNDARY	xgen-node/src/admin_ops.rs	BootstrapRegisterResult	bootstrap_id
BOUNDARY	xgen-node/src/admin_ops.rs	BootstrapRegistrationSummary	bootstrap_id
BOUNDARY	xgen-node/src/admin_ops.rs	FederationAcceptResult	peer_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	FederationAddPeerResult	peer_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	FederationDefederateResult	peer_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	FederationInitiateResult	peer_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	FederationRejectResult	peer_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	FederationSetPolicyResult	peer_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	FederationShowPolicyResult	peer_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	HostedSpaceSummary	space_id
BOUNDARY	xgen-node/src/admin_ops.rs	IdentityManageReplicaResult	identity_id
BOUNDARY	xgen-node/src/admin_ops.rs	IdentityRevokeResult	identity_id
BOUNDARY	xgen-node/src/admin_ops.rs	IdentitySetTrustExpiryResult	identity_id
BOUNDARY	xgen-node/src/admin_ops.rs	MigrationInitiateResult	destination_node_id
BOUNDARY	xgen-node/src/admin_ops.rs	MigrationInitiateResult	space_id
BOUNDARY	xgen-node/src/admin_ops.rs	NodeSetPolicyResult	space_id
BOUNDARY	xgen-node/src/admin_ops.rs	NodeShowPolicyResult	space_id
BOUNDARY	xgen-node/src/admin_ops.rs	SpaceForceEjectResult	event_id
BOUNDARY	xgen-node/src/admin_ops.rs	SpaceForceEjectResult	identity_id
BOUNDARY	xgen-node/src/admin_ops.rs	SpaceForceEjectResult	space_id
BOUNDARY	xgen-node/src/admin_ops.rs	SpaceUnbanResult	event_id
BOUNDARY	xgen-node/src/admin_ops.rs	SpaceUnbanResult	identity_id
BOUNDARY	xgen-node/src/admin_ops.rs	SpaceUnbanResult	space_id
BOUNDARY	xgen-node/src/audit.rs	AuditEntry	actor
BOUNDARY	xgen-node/src/audit.rs	AuditQueryFilter	actor
BOUNDARY	xgen-node/src/fanout.rs	ENUM-VARIANT	space_id
BOUNDARY	xgen-node/src/protocol_audit.rs	ProtocolAuditEntry	event_id
BOUNDARY	xgen-node/src/protocol_audit.rs	ProtocolAuditEntry	node_id
BOUNDARY	xgen-node/src/protocol_audit.rs	ProtocolAuditSink	node_id
DESCRIPTIVE	xgen-common/src/aicontrol/envelope.rs	Command	id
DESCRIPTIVE	xgen-common/src/aicontrol/envelope.rs	ENUM-VARIANT	id
DESCRIPTIVE	xgen-common/src/aicontrol/envelope.rs	ENUM-VARIANT	id
DESCRIPTIVE	xgen-node/src/audit.rs	AuditEntry	correlation_id
DESCRIPTIVE	xgen-node/src/audit.rs	AuditEntry	target
INTERNAL	xgen-client/src/address_book.rs	SeenRecord	home_node
INTERNAL	xgen-client/src/address_book.rs	SeenRecord	identity_id
INTERNAL	xgen-client/src/ops.rs	FetchedIdentity	home_node
INTERNAL	xgen-client/src/ops.rs	FetchedIdentity	identity_id
INTERNAL	xgen-client/src/ops.rs	RedactResult	target_event_id
INTERNAL	xgen-client/src/ops.rs	RoomsResult	space_id
INTERNAL	xgen-client/src/ops.rs	ThreadCreateResult	thread_id
INTERNAL	xgen-client/src/ops.rs	ThreadStatusResult	thread_id
INTERNAL	xgen-client/src/ops.rs	VerbReject	event_id
INTERNAL	xgen-client/src/resident.rs	OutboundRequest	room_id
INTERNAL	xgen-client/src/resident.rs	OutboundRequest	space_id
INTERNAL	xgen-client/src/resident.rs	SendOutcome	event_id
INTERNAL	xgen-client/src/session.rs	SessionState	node_id
INTERNAL	xgen-core/src/space/state.rs	ThreadState	id
INTERNAL	xgen-core/src/space/state.rs	ThreadState	origin_event
INTERNAL	xgen-core/src/transport/connection.rs	AuthOutcome	identity_id
INTERNAL	xgen-core/src/transport/connection.rs	AuthOutcome	node_id
UNREAD	xgen-common/src/aicontrol/envelope.rs	ErrorBody	event_id
